ax,ay,az,g1,g2,g3
-383,485,4109,5,-39,-43
-383,489,4103,4,-38,-44
-361,465,4113,4,-38,-43
-363,468,4116,5,-36,-40
-368,468,4116,5,-38,-43
-343,436,4120,0,-43,-40
-349,441,4121,1,-42,-40
-354,450,4121,2,-40,-41
-331,432,4120,0,-46,-34
-333,436,4116,0,-45,-36
-340,435,4119,-1,-44,-39
-332,444,4100,-3,-43,-32
-332,447,4107,-1,-45,-32
-334,444,4116,-2,-44,-32
-344,437,4113,0,-39,-31
-340,437,4102,-2,-40,-34
-334,441,4098,-3,-42,-34
-348,443,4119,0,-39,-33
-347,441,4113,-1,-40,-33
-344,437,4113,0,-39,-31
-360,471,4110,-1,-41,-31
-358,464,4117,-2,-40,-31
-351,450,4120,-1,-39,-31
-368,476,4109,0,-39,-31
-367,474,4108,0,-41,-31
-364,472,4109,0,-39,-31
-374,492,4100,2,-42,-30
-371,490,4103,0,-41,-29
-372,484,4110,0,-40,-28
-392,513,4102,0,-40,-32
-387,508,4099,1,-40,-31
-384,505,4097,1,-39,-28
-400,516,4101,1,-39,-31
-398,522,4099,2,-40,-34
-392,520,4104,0,-39,-31
-399,524,4106,2,-40,-35
-399,521,4104,1,-40,-35
-399,522,4102,0,-42,-34
-384,518,4105,4,-39,-39
-384,520,4105,5,-39,-36
-388,524,4103,5,-40,-37
-371,490,4122,4,-41,-37
-376,501,4117,3,-42,-39
-379,510,4110,4,-40,-39
-368,486,4056,1,-43,-33
-378,484,4115,1,-44,-35
-371,490,4122,4,-41,-37
-436,528,4105,-4,-47,-20
-407,487,4090,-6,-48,-24
-378,458,4100,-14,-51,-29
-422,504,4074,-4,-54,-46
-351,478,4060,-5,-54,-43
-238,490,4086,-6,-52,-32
-367,468,4105,-4,-48,-40
-361,484,4109,0,-40,-38
-388,504,4087,7,-43,-36
-362,469,4108,-1,-46,-41
-373,472,4104,0,-44,-40
-373,483,4114,2,-42,-40
-357,462,4114,0,-45,-40
-359,460,4120,1,-43,-39
-366,459,4114,0,-44,-41
-337,459,4110,1,-43,-39
-339,456,4113,4,-44,-36
-345,458,4112,2,-46,-38
-337,459,4110,0,-43,-37
-341,459,4109,0,-44,-39
-337,459,4110,1,-43,-39
-351,457,4121,1,-36,-36
-347,458,4117,0,-40,-35
-351,460,4113,0,-38,-35
-355,469,4113,0,-40,-35
-359,472,4112,0,-40,-33
-364,469,4116,0,-39,-35
-363,481,4111,1,-40,-34
-360,471,4110,0,-40,-35
-355,469,4113,0,-40,-35
-367,485,4113,4,-40,-35
-366,483,4114,2,-40,-34
-361,483,4110,1,-40,-33
-372,489,4108,1,-39,-32
-372,487,4109,1,-39,-34
-368,484,4109,1,-39,-34
-375,486,4110,0,-38,-33
-375,487,4108,1,-38,-33
-372,489,4108,1,-39,-32
-379,490,4110,0,-38,-36
-379,490,4113,2,-37,-34
-375,487,4113,1,-39,-32
-378,496,4102,3,-38,-36
-375,497,4105,5,-36,-36
-377,494,4106,3,-39,-34
-375,497,4104,5,-40,-35
-374,496,4102,2,-40,-38
-376,492,4104,1,-40,-38
-372,493,4112,5,-36,-36
-373,495,4108,3,-38,-38
-372,498,4101,3,-39,-39
-367,492,4108,1,-40,-39
-368,488,4108,2,-41,-40
